sampleID	task	realtime_M	cpu	peak_rss_G
m_sample_1	BINNY	1346.1166666666666	70.9	3.7
mg_sample_13	MAXBIN2	18.383333333333333	830.3	1.4
mg_sample_10	MAXBIN2	21.05	753.2	0.92275390625
mg_sample_11	MAXBIN2	28.683333333333334	602.6	2.0
mg_sample_12	MAXBIN2	28.866666666666667	635.0	1.4
mg_sample_16	MAXBIN2	13.7	993.5	0.88671875
mg_sample_15	MAXBIN2	32.3	554.0	1.3
mg_sample_18	MAXBIN2	15.983333333333333	933.8	1.3
mg_sample_1	MAXBIN2	16.966666666666665	804.5	1.5
mg_sample_17	MAXBIN2	31.466666666666665	576.9	1.1
mg_sample_14	MAXBIN2	32.96666666666667	585.6	2.3
mg_sample_20	MAXBIN2	21.016666666666666	686.9	1.3
mg_sample_21	MAXBIN2	18.4	798.5	1.3
mg_sample_19	MAXBIN2	31.583333333333332	569.6	1.3
mg_sample_6	MAXBIN2	24.25	657.3	0.84560546875
mg_sample_2	MAXBIN2	18.516666666666666	897.5	1.3
mg_sample_8	MAXBIN2	16.1	893.5	1.8
mg_sample_7	MAXBIN2	19.083333333333332	819.3	1.3
mg_sample_5	MAXBIN2	21.483333333333334	695.5	0.79169921875
mg_sample_13	METABAT2	0.85	862.1	0.1205078125
mg_sample_9	MAXBIN2	18.85	855.3	1.9
mg_sample_13	SEMIBIN2	6.416666666666667	360.1	12.9
mg_sample_22	MAXBIN2	34.43333333333333	571.8	2.3
mg_sample_13	CONCOCT	10.0	1047.4	0.26064453125
mg_sample_10	METABAT2	2.033333333333333	867.4	0.153125
mg_sample_10	SEMIBIN2	7.366666666666666	394.6	18.0
mg_sample_13	METABINNER	33.7	290.9	1.6
mg_sample_10	CONCOCT	21.483333333333334	1306.4	0.300390625
mg_sample_11	METABAT2	3.85	878.3	0.2544921875
mg_sample_11	SEMIBIN2	11.533333333333333	515.8	29.5
mg_sample_11	CONCOCT	24.2	1261.5	0.42236328125
mg_sample_10	METABINNER	41.13333333333333	305.4	1.8
mg_sample_12	SEMIBIN2	10.633333333333333	528.8	30.6
mg_sample_12	METABAT2	5.216666666666667	859.9	0.26240234375
mg_sample_13	COMEBIN	80.33333333333333	620.9	14.1
mg_sample_12	CONCOCT	41.9	1383.6	0.40615234375
mg_sample_11	METABINNER	66.25	356.0	2.3
mg_sample_15	METABAT2	5.083333333333333	870.1	0.2697265625
mg_sample_16	CONCOCT	3.3666666666666667	421.9	0.20576171875
mg_sample_16	METABAT2	0.03333333333333333	811.6	0.0439453125
mg_sample_10	COMEBIN	97.06666666666666	632.2	14.3
mg_sample_15	SEMIBIN2	11.283333333333333	515.4	36.5
mg_sample_16	SEMIBIN2	3.9	259.0	1.4
mg_sample_12	METABINNER	61.86666666666667	365.6	2.2
mg_sample_16	METABINNER	15.85	217.1	1.4
mg_sample_15	CONCOCT	50.63333333333333	1397.7	0.42470703125
mg_sample_16	COMEBIN	47.85	613.2	13.8
mg_sample_15	METABINNER	65.26666666666667	373.1	2.2
mg_sample_11	COMEBIN	158.61666666666667	642.5	14.5
mg_sample_12	COMEBIN	175.4	676.3	14.6
mg_sample_18	METABINNER	22.533333333333335	290.7	1.6
mg_sample_17	METABINNER	60.11666666666667	378.7	2.0
mg_sample_16	BINNY	148.36666666666667	57.6	0.78173828125
mg_sample_14	METABINNER	68.36666666666666	352.7	2.3
mg_sample_1	METABINNER	25.3	344.6	1.9
mg_sample_18	COMEBIN	66.21666666666667	622.7	14.2
mg_sample_19	METABINNER	55.45	388.0	2.2
mg_sample_20	METABINNER	40.25	355.4	1.8
mg_sample_21	METABINNER	33.4	303.2	1.7
mg_sample_13	BINNY	302.65	66.5	1.1
