sampleID	task	realtime_M	cpu	peak_rss_G
m_sample_9	CONCOCT	85.21666666666667	90.31875	0.578125
m_sample_5	CONCOCT	56.18333333333333	79.8375	0.54658203125
m_sample_4	COMEBin	425.03333333333336	88.9375	15.0
m_sample_7	COMEBin	558.5	93.25	15.1
m_sample_9	COMEBin	450.3	89.95	15.3
m_sample_0	COMEBin	505.81666666666666	91.0875	15.4
m_sample_5	COMEBin	492.0	90.7875	15.2
m_sample_3	COMEBin	569.4666666666667	91.8375	15.6
m_sample_4	COMEBin	326.03333333333336	87.8375	15.0
m_sample_5	COMEBin	376.18333333333334	90.8	15.2
m_sample_7	COMEBin	412.23333333333335	89.925	15.2
m_sample_9	COMEBin	437.3333333333333	89.2625	15.3
m_sample_0	COMEBin	568.05	91.5125	15.4
m_sample_6	COMEBin	584.0333333333333	93.1125	15.5
m_sample_1	COMEBin	615.35	92.125	15.6
m_sample_3	COMEBin	622.9833333333333	92.6125	15.6
m_sample_4	binny	774.6166666666667	5.23125	2.7
m_sample_2	COMEBin	793.5166666666667	94.375	15.8
m_sample_5	binny	798.65	5.24375	3.1
m_sample_8	COMEBin	818.2333333333333	94.4375	15.9
m_sample_7	binny	921.9166666666666	5.36875	3.1
m_sample_9	binny	946.6666666666666	5.225	3.4
m_sample_6	binny	972.3	5.375	3.6
m_sample_0	binny	995.85	5.4125	3.4
m_sample_8	binny	990.1833333333333	5.3875	4.3
m_sample_3	binny	1023.45	5.45	3.8
m_sample_2	binny	1114.3666666666666	5.3375	4.2
m_sample_1	binny	1346.1166666666666	4.43125	3.7
mg_sample_13	MaxBin2	18.383333333333333	51.89375	1.4
mg_sample_10	MaxBin2	21.05	47.075	0.92275390625
mg_sample_11	MaxBin2	28.683333333333334	37.6625	2.0
mg_sample_12	MaxBin2	28.866666666666667	39.6875	1.4
mg_sample_16	MaxBin2	13.7	62.09375	0.88671875
mg_sample_15	MaxBin2	32.3	34.625	1.3
mg_sample_18	MaxBin2	15.983333333333333	58.3625	1.3
mg_sample_1	MaxBin2	16.966666666666665	50.28125	1.5
mg_sample_17	MaxBin2	31.466666666666665	36.05625	1.1
mg_sample_14	MaxBin2	32.96666666666667	36.6	2.3
mg_sample_20	MaxBin2	21.016666666666666	42.93125	1.3
mg_sample_21	MaxBin2	18.4	49.90625	1.3
mg_sample_19	MaxBin2	31.583333333333332	35.6	1.3
mg_sample_6	MaxBin2	24.25	41.08125	0.84560546875
mg_sample_2	MaxBin2	18.516666666666666	56.09375	1.3
mg_sample_8	MaxBin2	16.1	55.84375	1.8
mg_sample_7	MaxBin2	19.083333333333332	51.20625	1.3
mg_sample_5	MaxBin2	21.483333333333334	43.46875	0.79169921875
mg_sample_13	MetaBAT2	0.85	53.88125	0.1205078125
mg_sample_9	MaxBin2	18.85	53.45625	1.9
mg_sample_13	SemiBin2	6.416666666666667	22.50625	12.9
mg_sample_22	MaxBin2	34.43333333333333	35.7375	2.3
mg_sample_13	CONCOCT	10.0	65.4625	0.26064453125
mg_sample_10	MetaBAT2	2.033333333333333	54.2125	0.153125
mg_sample_10	SemiBin2	7.366666666666666	24.6625	18.0
mg_sample_13	MetaBinner	33.7	36.3625	1.6
mg_sample_10	CONCOCT	21.483333333333334	81.65	0.300390625
mg_sample_11	MetaBAT2	3.85	54.89375	0.2544921875
mg_sample_11	SemiBin2	11.533333333333333	32.2375	29.5
mg_sample_11	CONCOCT	24.2	78.84375	0.42236328125
mg_sample_10	MetaBinner	41.13333333333333	38.175	1.8
mg_sample_12	SemiBin2	10.633333333333333	33.05	30.6
mg_sample_12	MetaBAT2	5.216666666666667	53.74375	0.26240234375
mg_sample_13	COMEBin	80.33333333333333	77.6125	14.1
mg_sample_12	CONCOCT	41.9	86.475	0.40615234375
mg_sample_11	MetaBinner	66.25	44.5	2.3
mg_sample_15	MetaBAT2	5.083333333333333	54.38125	0.2697265625
mg_sample_16	CONCOCT	3.3666666666666667	26.36875	0.20576171875
mg_sample_16	MetaBAT2	0.03333333333333333	50.725	0.0439453125
mg_sample_10	COMEBin	97.06666666666666	79.025	14.3
mg_sample_15	SemiBin2	11.283333333333333	32.2125	36.5
mg_sample_16	SemiBin2	3.9	16.1875	1.4
mg_sample_12	MetaBinner	61.86666666666667	45.7	2.2
mg_sample_16	MetaBinner	15.85	27.1375	1.4
mg_sample_15	CONCOCT	50.63333333333333	87.35625	0.42470703125
mg_sample_16	COMEBin	47.85	76.65	13.8
mg_sample_15	MetaBinner	65.26666666666667	46.6375	2.2
mg_sample_11	COMEBin	158.61666666666667	80.3125	14.5
mg_sample_12	COMEBin	175.4	84.5375	14.6
mg_sample_18	MetaBinner	22.533333333333335	36.3375	1.6
mg_sample_17	MetaBinner	60.11666666666667	47.3375	2.0
mg_sample_16	binny	148.36666666666667	3.6	0.78173828125
mg_sample_14	MetaBinner	68.36666666666666	44.0875	2.3
